query-id	0	doc-id	1
1	0	40	1
2	0	1	1
3	0	3	1
4	0	4	1
5	0	5	1
6	0	5	1
7	0	6	1
8	0	6	1
9	0	6	1
10	0	6	1
11	0	6	1
12	0	6	1
13	0	6	1
14	0	7	1
15	0	7	1
16	0	8	1
17	0	8	1
18	0	8	1
19	0	8	1
20	0	10	1
21	0	11	1
22	0	11	1
23	0	11	1
24	0	13	1
25	0	13	1
26	0	103	1
27	0	102	1
28	0	16	1
29	0	14	1
30	0	15	1
31	0	20	1
32	0	20	1
33	0	87	1
34	0	87	1
35	0	86	1
36	0	25	1
37	0	28	1
38	0	34	1
39	0	33	1
40	0	33	1
41	0	35	1
42	0	37	1
43	0	37	1
44	0	38	1
45	0	38	1
46	0	39	1
47	0	39	1
48	0	40	1
49	0	41	1
50	0	41	1
51	0	41	1
52	0	48	1
53	0	48	1
54	0	43	1
55	0	45	1
56	0	47	1
57	0	49	1
58	0	50	1
59	0	51	1
60	0	55	1
61	0	53	1
62	0	58	1
63	0	60	1
64	0	61	1
65	0	66	1
66	0	67	1
67	0	68	1
68	0	69	1
69	0	70	1
70	0	73	1
71	0	11	1
72	0	11	1
73	0	11	1
74	0	12	1
75	0	11	1
76	0	12	1
77	0	13	1
78	0	14	1
79	0	16	1
80	0	15	1
81	0	10	1
82	0	76	1
83	0	76	1
84	0	79	1
85	0	78	1
86	0	79	1
87	0	87	1
88	0	89	1
89	0	91	1
90	0	91	1
91	0	57	1
92	0	42	1
93	0	46	1
94	0	21	1
95	0	65	1
96	0	63	1
97	0	63	1
98	0	9	1
99	0	18	1
100	0	19	1
101	0	93	1
102	0	94	1
103	0	94	1
104	0	95	1
105	0	96	1
106	0	96	1
107	0	99	1
108	0	100	1
109	0	101	1
110	0	101	1
111	0	102	1
112	0	104	1
113	0	79	1
114	0	79	1
115	0	87	1
116	0	88	1
117	0	1	1
118	0	71	1
119	0	18	1
